Shortage,pworst burg,pworst kl,pworst mchi2,Supply,Population,Infrastructure,Model
556100,0.017024,0.024467,0.023276,High,High,None,gfdl.cm3.1.rcp85.piecewise
614700,0.0085666,0.0077379,0.0063792,Low,High,None,gfdl.cm3.1.rcp85.piecewise
381010,0.0030834,0.0029592,0.0031447,High,Low,None,gfdl.cm3.1.rcp85.piecewise
350590,0.00081634,0.00085417,0.0011287,Low,Low,None,gfdl.cm3.1.rcp85.piecewise
575160,0.014943,0.022926,0.022656,High,High,None,gfdl.cm3.1.rcp60.piecewise
531090,0.0072522,0.0074191,0.0062789,Low,High,None,gfdl.cm3.1.rcp60.piecewise
327940,0.0030668,0.0029182,0.0030117,High,Low,None,gfdl.cm3.1.rcp60.piecewise
386020,0.00080609,0.00082811,0.0010549,Low,Low,None,gfdl.cm3.1.rcp60.piecewise
572140,0.029347,0.02977,0.025146,High,High,None,gfdl.cm3.1.rcp45.piecewise
560610,0.13821,0.0096202,0.0068979,Low,High,None,gfdl.cm3.1.rcp45.piecewise
356880,0.0032934,0.0034882,0.004712,High,Low,None,gfdl.cm3.1.rcp45.piecewise
391440,0.00087152,0.00099659,0.0014961,Low,Low,None,gfdl.cm3.1.rcp45.piecewise
577330,0.021395,0.026918,0.024186,High,High,None,gfdl.cm3.1.rcp26.piecewise
580500,0.015739,0.0086013,0.0066312,Low,High,None,gfdl.cm3.1.rcp26.piecewise
334630,0.0032128,0.0032831,0.0041347,High,Low,None,gfdl.cm3.1.rcp26.piecewise
394710,0.00084719,0.0009334,0.00134,Low,Low,None,gfdl.cm3.1.rcp26.piecewise
551120,0.016388,0.024027,0.023103,High,High,None,gfdl.esm2m.1.rcp85.piecewise
520040,0.0085898,0.0077428,0.0063806,Low,High,None,gfdl.esm2m.1.rcp85.piecewise
364320,0.0031369,0.0030924,0.0035643,High,Low,None,gfdl.esm2m.1.rcp85.piecewise
364440,0.00082757,0.00088288,0.0012074,Low,Low,None,gfdl.esm2m.1.rcp85.piecewise
541620,0.012435,0.020592,0.021633,High,High,None,gfdl.esm2m.1.rcp60.piecewise
552290,0.0049384,0.0065247,0.0059728,Low,High,None,gfdl.esm2m.1.rcp60.piecewise
361990,0.0030092,0.0027768,0.0025385,High,Low,None,gfdl.esm2m.1.rcp60.piecewise
361440,0.00079244,0.00079367,0.00095365,Low,Low,None,gfdl.esm2m.1.rcp60.piecewise
499880,0.014912,0.0229,0.022646,High,High,None,gfdl.esm2m.1.rcp45.piecewise
594280,0.0066919,0.0072508,0.0062242,Low,High,None,gfdl.esm2m.1.rcp45.piecewise
392970,0.0030998,0.0029998,0.0032746,High,Low,None,gfdl.esm2m.1.rcp45.piecewise
355780,0.0008164,0.00085432,0.0011291,Low,Low,None,gfdl.esm2m.1.rcp45.piecewise
552490,0.015129,0.023077,0.022719,High,High,None,gfdl.esm2m.1.rcp26.piecewise
521150,0.007255,0.0074199,0.0062792,Low,High,None,gfdl.esm2m.1.rcp26.piecewise
317580,0.0031112,0.0030282,0.0033645,High,Low,None,gfdl.esm2m.1.rcp26.piecewise
330390,0.00082045,0.00086464,0.0011577,Low,Low,None,gfdl.esm2m.1.rcp26.piecewise
546540,0.014762,0.022776,0.022594,High,High,None,csiro.mk3.6.0.1.rcp85.piecewise
626290,0.0067859,0.0072807,0.006234,Low,High,None,csiro.mk3.6.0.1.rcp85.piecewise
363830,0.0030702,0.0029266,0.0030391,High,Low,None,csiro.mk3.6.0.1.rcp85.piecewise
350630,0.00081209,0.00084334,0.0010983,Low,Low,None,csiro.mk3.6.0.1.rcp85.piecewise
463310,0.011792,0.019886,0.021301,High,High,None,csiro.mk3.6.0.1.rcp60.piecewise
570510,0.0044534,0.0062448,0.0058684,Low,High,None,csiro.mk3.6.0.1.rcp60.piecewise
333270,0.0029844,0.0027164,0.0023289,High,Low,None,csiro.mk3.6.0.1.rcp60.piecewise
357420,0.00078317,0.00077045,0.00088289,Low,Low,None,csiro.mk3.6.0.1.rcp60.piecewise
517750,0.015518,0.023383,0.022844,High,High,None,csiro.mk3.6.0.1.rcp45.piecewise
536340,0.008153,0.0076473,0.0063511,Low,High,None,csiro.mk3.6.0.1.rcp45.piecewise
358690,0.0030899,0.0029754,0.0031966,High,Low,None,csiro.mk3.6.0.1.rcp45.piecewise
342830,0.00081546,0.00085193,0.0011224,Low,Low,None,csiro.mk3.6.0.1.rcp45.piecewise
568100,0.013337,0.021502,0.022045,High,High,None,csiro.mk3.6.0.1.rcp26.piecewise
525370,0.0053177,0.0067148,0.0060413,Low,High,None,csiro.mk3.6.0.1.rcp26.piecewise
339920,0.0030273,0.002821,0.002689,High,Low,None,csiro.mk3.6.0.1.rcp26.piecewise
335180,0.00079845,0.00080879,0.0009986,Low,Low,None,csiro.mk3.6.0.1.rcp26.piecewise
513180,0.017705,0.024911,0.023447,High,High,None,hadgem2.es.1.rcp85.piecewise
530150,0.0092597,0.0078735,0.0064205,Low,High,None,hadgem2.es.1.rcp85.piecewise
331440,0.0031185,0.0030463,0.0034212,High,Low,None,hadgem2.es.1.rcp85.piecewise
387950,0.00081974,0.00086285,0.0011528,Low,Low,None,hadgem2.es.1.rcp85.piecewise
513530,0.016721,0.024261,0.023195,High,High,None,hadgem2.es.1.rcp60.piecewise
538340,0.0086018,0.0077453,0.0063814,Low,High,None,hadgem2.es.1.rcp60.piecewise
320080,0.0031238,0.0030595,0.0034624,High,Low,None,hadgem2.es.1.rcp60.piecewise
374380,0.00082202,0.00086867,0.0011688,Low,Low,None,hadgem2.es.1.rcp60.piecewise
509160,0.015312,0.023222,0.022778,High,High,None,hadgem2.es.1.rcp45.piecewise
571920,0.0070052,0.0073478,0.0062559,Low,High,None,hadgem2.es.1.rcp45.piecewise
361360,0.003082,0.0029557,0.0031335,High,Low,None,hadgem2.es.1.rcp45.piecewise
371000,0.00081235,0.000844,0.0011001,Low,Low,None,hadgem2.es.1.rcp45.piecewise
535020,0.015019,0.022987,0.022682,High,High,None,hadgem2.es.1.rcp26.piecewise
499410,0.0071934,0.0074025,0.0062736,Low,High,None,hadgem2.es.1.rcp26.piecewise
361360,0.0030792,0.0029487,0.003111,High,Low,None,hadgem2.es.1.rcp26.piecewise
358160,0.00081211,0.0008434,0.0010984,Low,Low,None,hadgem2.es.1.rcp26.piecewise
506050,0.026979,0.029071,0.024919,High,High,None,miroc.esm.chem.1.rcp85.piecewise
586880,0.032997,0.0091889,0.0067886,Low,High,None,miroc.esm.chem.1.rcp85.piecewise
395470,0.0032433,0.0033605,0.0043567,High,Low,None,miroc.esm.chem.1.rcp85.piecewise
331410,0.00086206,0.00097195,0.0014364,Low,Low,None,miroc.esm.chem.1.rcp85.piecewise
507240,0.020822,0.026643,0.024088,High,High,None,miroc.esm.chem.1.rcp60.piecewise
575670,0.013114,0.0083865,0.0065709,Low,High,None,miroc.esm.chem.1.rcp60.piecewise
356150,0.0031972,0.0032438,0.0040198,High,Low,None,miroc.esm.chem.1.rcp60.piecewise
394320,0.00084262,0.00092159,0.0013097,Low,Low,None,miroc.esm.chem.1.rcp60.piecewise
569890,0.017141,0.024545,0.023306,High,High,None,miroc.esm.chem.1.rcp45.piecewise
529050,0.0088221,0.0077901,0.0063952,Low,High,None,miroc.esm.chem.1.rcp45.piecewise
364660,0.0031253,0.0030634,0.0034746,High,Low,None,miroc.esm.chem.1.rcp45.piecewise
361740,0.00082488,0.00087598,0.0011887,Low,Low,None,miroc.esm.chem.1.rcp45.piecewise
557210,0.014108,0.022214,0.022356,High,High,None,miroc.esm.chem.1.rcp26.piecewise
529830,0.0065782,0.0072136,0.006212,Low,High,None,miroc.esm.chem.1.rcp26.piecewise
346490,0.0030495,0.0028755,0.0028713,High,Low,None,miroc.esm.chem.1.rcp26.piecewise
345530,0.00080396,0.00082272,0.0010393,Low,Low,None,miroc.esm.chem.1.rcp26.piecewise
524350,0.01653,0.024128,0.023143,High,High,None,miroc5.1.rcp85.piecewise
532110,0.0084707,0.0077176,0.0063729,Low,High,None,miroc5.1.rcp85.piecewise
369980,0.0031086,0.0030217,0.0033441,High,Low,None,miroc5.1.rcp85.piecewise
336060,0.00082124,0.00086668,0.0011633,Low,Low,None,miroc5.1.rcp85.piecewise
513700,0.011126,0.019099,0.020916,High,High,None,miroc5.1.rcp60.piecewise
510210,0.0043822,0.0061996,0.0058511,Low,High,None,miroc5.1.rcp60.piecewise
336510,0.0029481,0.0026289,0.0020168,High,Low,None,miroc5.1.rcp60.piecewise
343510,0.00077555,0.00075146,0.00082343,Low,Low,None,miroc5.1.rcp60.piecewise
587560,0.01472,0.022742,0.022579,High,High,None,miroc5.1.rcp45.piecewise
543070,0.0064446,0.0071685,0.0061971,Low,High,None,miroc5.1.rcp45.piecewise
346500,0.0030676,0.0029202,0.0030182,High,Low,None,miroc5.1.rcp45.piecewise
332630,0.00080865,0.0008346,0.0010735,Low,Low,None,miroc5.1.rcp45.piecewise
567760,0.011633,0.019703,0.021213,High,High,None,miroc5.1.rcp26.piecewise
569820,0.0045405,0.0062985,0.0058888,Low,High,None,miroc5.1.rcp26.piecewise
337600,0.0029815,0.0027095,0.0023047,High,Low,None,miroc5.1.rcp26.piecewise
310500,0.00078397,0.00077244,0.00088904,Low,Low,None,miroc5.1.rcp26.piecewise
323220,0.0035556,0.0041684,0.0064099,High,High,None,gfdl.cm3.1.rcp85.linear
319240,0.00099865,0.0013325,0.0021881,Low,High,None,gfdl.cm3.1.rcp85.linear
195170,0.0021823,0.00102,0,High,Low,None,gfdl.cm3.1.rcp85.linear
208740,0.00056646,0.00029166,0,Low,Low,None,gfdl.cm3.1.rcp85.linear
273700,0.0034858,0.0039856,0.0059826,High,High,None,gfdl.cm3.1.rcp60.linear
306050,0.00097364,0.0012661,0.0020663,Low,High,None,gfdl.cm3.1.rcp60.linear
188120,0.0021714,0.0010015,0,High,Low,None,gfdl.cm3.1.rcp60.linear
196290,0.0005635,0.00028633,0,Low,Low,None,gfdl.cm3.1.rcp60.linear
294610,0.0039106,0.0051069,0.0083451,High,High,None,gfdl.cm3.1.rcp45.linear
294900,0.0011122,0.001633,0.0026726,Low,High,None,gfdl.cm3.1.rcp45.linear
197290,0.0022814,0.0011949,0,High,Low,None,gfdl.cm3.1.rcp45.linear
202260,0.00059311,0.00034149,0,Low,Low,None,gfdl.cm3.1.rcp45.linear
285900,0.0037347,0.0046403,0.0074318,High,High,None,gfdl.cm3.1.rcp26.linear
286710,0.0010569,0.0014871,0.0024496,Low,High,None,gfdl.cm3.1.rcp26.linear
192970,0.0022408,0.0011218,0,High,Low,None,gfdl.cm3.1.rcp26.linear
198630,0.0005828,0.00032183,0,Low,Low,None,gfdl.cm3.1.rcp26.linear
338880,0.0035687,0.0042025,0.0064875,High,High,None,gfdl.esm2m.1.rcp85.linear
339630,0.0010015,0.0013401,0.0022017,Low,High,None,gfdl.esm2m.1.rcp85.linear
211440,0.0022097,0.0010671,0,High,Low,None,gfdl.esm2m.1.rcp85.linear
205290,0.00057386,0.00030517,0,Low,Low,None,gfdl.esm2m.1.rcp85.linear
291550,0.0033496,0.0036325,0.0050985,High,High,None,gfdl.esm2m.1.rcp60.linear
283050,0.00093404,0.001161,0.00186,Low,High,None,gfdl.esm2m.1.rcp60.linear
181510,0.00215,0.00096557,0,High,Low,None,gfdl.esm2m.1.rcp60.linear
200020,0.00055801,0.00027656,0,Low,Low,None,gfdl.esm2m.1.rcp60.linear
312400,0.0034841,0.0039812,0.005972,High,High,None,gfdl.esm2m.1.rcp45.linear
298510,0.00097881,0.0012798,0.002092,Low,High,None,gfdl.esm2m.1.rcp45.linear
203110,0.0021912,0.0010352,0,High,Low,None,gfdl.esm2m.1.rcp45.linear
199450,0.000569,0.00029627,0,Low,Low,None,gfdl.esm2m.1.rcp45.linear
310910,0.003515,0.004062,0.0061635,High,High,None,gfdl.esm2m.1.rcp26.linear
308120,0.00098573,0.0012982,0.002126,Low,High,None,gfdl.esm2m.1.rcp26.linear
194540,0.0022001,0.0010505,0,High,Low,None,gfdl.esm2m.1.rcp26.linear
206810,0.00057076,0.00029949,0,Low,Low,None,gfdl.esm2m.1.rcp26.linear
272830,0.0034859,0.0039859,0.0059833,High,High,None,csiro.mk3.6.0.1.rcp85.linear
303480,0.00097547,0.0012709,0.0020754,Low,High,None,csiro.mk3.6.0.1.rcp85.linear
190580,0.0021808,0.0010174,0,High,Low,None,csiro.mk3.6.0.1.rcp85.linear
215480,0.00056569,0.00029028,0,Low,Low,None,csiro.mk3.6.0.1.rcp85.linear
311590,0.0032871,0.0034721,0.004668,High,High,None,csiro.mk3.6.0.1.rcp60.linear
339730,0.0009153,0.0011115,0.0017561,Low,High,None,csiro.mk3.6.0.1.rcp60.linear
182650,0.0021374,0.00094479,0,High,Low,None,csiro.mk3.6.0.1.rcp60.linear
180720,0.00055378,0.00026914,0,Low,Low,None,csiro.mk3.6.0.1.rcp60.linear
308410,0.0035202,0.0040755,0.006195,High,High,None,csiro.mk3.6.0.1.rcp45.linear
307200,0.0009878,0.0013037,0.002136,Low,High,None,csiro.mk3.6.0.1.rcp45.linear
206470,0.0021859,0.0010261,0,High,Low,None,csiro.mk3.6.0.1.rcp45.linear
209920,0.00056714,0.0002929,0,Low,Low,None,csiro.mk3.6.0.1.rcp45.linear
290270,0.0033931,0.0037449,0.0053888,High,High,None,csiro.mk3.6.0.1.rcp26.linear
316020,0.00094879,0.0012001,0.0019388,Low,High,None,csiro.mk3.6.0.1.rcp26.linear
179850,0.002159,0.00098066,0,High,Low,None,csiro.mk3.6.0.1.rcp26.linear
203160,0.00055942,0.00027906,0,Low,Low,None,csiro.mk3.6.0.1.rcp26.linear
291120,0.003584,0.0042427,0.0065783,High,High,None,hadgem2.es.1.rcp85.linear
280370,0.0010081,0.0013576,0.0022325,Low,High,None,hadgem2.es.1.rcp85.linear
189810,0.0021954,0.0010424,0,High,Low,None,hadgem2.es.1.rcp85.linear
192200,0.00056997,0.00029803,0,Low,Low,None,hadgem2.es.1.rcp85.linear
342720,0.0035786,0.0042287,0.0065468,High,High,None,hadgem2.es.1.rcp60.linear
353020,0.001009,0.00136,0.0022368,Low,High,None,hadgem2.es.1.rcp60.linear
192130,0.0022031,0.0010557,0,High,Low,None,hadgem2.es.1.rcp60.linear
199000,0.00057251,0.00030269,0,Low,Low,None,hadgem2.es.1.rcp60.linear
269120,0.0035125,0.0040554,0.006148,High,High,None,hadgem2.es.1.rcp45.linear
285180,0.00098457,0.0012951,0.0021203,Low,High,None,hadgem2.es.1.rcp45.linear
188180,0.002186,0.0010263,0,High,Low,None,hadgem2.es.1.rcp45.linear
195830,0.00056789,0.00029425,0,Low,Low,None,hadgem2.es.1.rcp45.linear
340970,0.0034861,0.0039864,0.0059844,High,High,None,hadgem2.es.1.rcp26.linear
341870,0.00097688,0.0012747,0.0020824,Low,High,None,hadgem2.es.1.rcp26.linear
189010,0.0021791,0.0010145,0,High,Low,None,hadgem2.es.1.rcp26.linear
195300,0.00056582,0.0002905,0,Low,Low,None,hadgem2.es.1.rcp26.linear
293950,0.0038215,0.0048703,0.007893,High,High,None,miroc.esm.chem.1.rcp85.linear
307240,0.001085,0.0015612,0.0025656,Low,High,None,miroc.esm.chem.1.rcp85.linear
199860,0.0022583,0.001153,0,High,Low,None,miroc.esm.chem.1.rcp85.linear
205380,0.00058703,0.00032983,0,Low,Low,None,miroc.esm.chem.1.rcp85.linear
285060,0.003702,0.0045537,0.0072524,High,High,None,miroc.esm.chem.1.rcp60.linear
284660,0.0010457,0.0014574,0.0024016,Low,High,None,miroc.esm.chem.1.rcp60.linear
199150,0.0022373,0.0011155,0,High,Low,None,miroc.esm.chem.1.rcp60.linear
198490,0.00058106,0.00031855,0,Low,Low,None,miroc.esm.chem.1.rcp60.linear
298420,0.0035709,0.0042084,0.0065009,High,High,None,miroc.esm.chem.1.rcp45.linear
295650,0.0010042,0.0013473,0.0022144,Low,High,None,miroc.esm.chem.1.rcp45.linear
191600,0.0022009,0.0010518,0,High,Low,None,miroc.esm.chem.1.rcp45.linear
188890,0.00057154,0.0003009,0,Low,Low,None,miroc.esm.chem.1.rcp45.linear
288090,0.0034483,0.003888,0.0057463,High,High,None,miroc.esm.chem.1.rcp26.linear
322990,0.000967,0.0012484,0.0020328,Low,High,None,miroc.esm.chem.1.rcp26.linear
180370,0.0021679,0.00099556,0,High,Low,None,miroc.esm.chem.1.rcp26.linear
208370,0.00056185,0.00028338,0,Low,Low,None,miroc.esm.chem.1.rcp26.linear
278520,0.0035532,0.004162,0.0063952,High,High,None,miroc5.1.rcp85.linear
290540,0.00099866,0.0013325,0.0021882,Low,High,None,miroc5.1.rcp85.linear
191020,0.002193,0.0010382,0,High,Low,None,miroc5.1.rcp85.linear
188250,0.00056953,0.00029723,0,Low,Low,None,miroc5.1.rcp85.linear
266740,0.0032623,0.0034088,0.0044928,High,High,None,miroc5.1.rcp60.linear
254460,0.00090671,0.0010889,0.0017071,Low,High,None,miroc5.1.rcp60.linear
174570,0.002118,0.00091315,0,High,Low,None,miroc5.1.rcp60.linear
177330,0.00054912,0.00026106,0,Low,Low,None,miroc5.1.rcp60.linear
296650,0.0034719,0.0039494,0.0058954,High,High,None,miroc5.1.rcp45.linear
280600,0.0009689,0.0012535,0.0020425,Low,High,None,miroc5.1.rcp45.linear
200210,0.0021756,0.0010085,0,High,Low,None,miroc5.1.rcp45.linear
217520,0.00056386,0.00028698,0,Low,Low,None,miroc5.1.rcp45.linear
296240,0.0033077,0.0035249,0.0048119,High,High,None,miroc5.1.rcp26.linear
293230,0.00092198,0.0011292,0.0017936,Low,High,None,miroc5.1.rcp26.linear
182060,0.0021348,0.00094044,0,High,Low,None,miroc5.1.rcp26.linear
186010,0.00055356,0.00026875,0,Low,Low,None,miroc5.1.rcp26.linear
408560,0.016449,0.024173,0.02244,High,High,WWTP,gfdl.cm3.1.rcp85.piecewise
441500,0.0088689,0.0078506,0.0061976,Low,High,WWTP,gfdl.cm3.1.rcp85.piecewise
324100,0.0030587,0.0028559,0.0032535,High,Low,WWTP,gfdl.cm3.1.rcp85.piecewise
324090,0.00080919,0.00082482,0.0011375,Low,Low,WWTP,gfdl.cm3.1.rcp85.piecewise
393540,0.014859,0.022943,0.021971,High,High,WWTP,gfdl.cm3.1.rcp60.piecewise
447070,0.0072581,0.0074662,0.0060849,Low,High,WWTP,gfdl.cm3.1.rcp60.piecewise
273970,0.0030473,0.0028278,0.003165,High,Low,WWTP,gfdl.cm3.1.rcp60.piecewise
295600,0.00080498,0.00081419,0.0011084,Low,Low,WWTP,gfdl.cm3.1.rcp60.piecewise
413440,0.029171,0.029904,0.024351,High,High,WWTP,gfdl.cm3.1.rcp45.piecewise
470870,0.14342,0.0097067,0.0066743,Low,High,WWTP,gfdl.cm3.1.rcp45.piecewise
261560,0.0032841,0.0034193,0.004871,High,Low,WWTP,gfdl.cm3.1.rcp45.piecewise
300100,0.00087178,0.00098552,0.0015373,Low,Low,WWTP,gfdl.cm3.1.rcp45.piecewise
421290,0.020669,0.026704,0.023335,High,High,WWTP,gfdl.cm3.1.rcp26.piecewise
448990,0.016961,0.0087453,0.00644,Low,High,WWTP,gfdl.cm3.1.rcp26.piecewise
258870,0.0031979,0.0032014,0.0042795,High,Low,WWTP,gfdl.cm3.1.rcp26.piecewise
318570,0.00084306,0.0009112,0.0013612,Low,Low,WWTP,gfdl.cm3.1.rcp26.piecewise
421120,0.016309,0.024072,0.022402,High,High,WWTP,gfdl.esm2m.1.rcp85.piecewise
447330,0.0089714,0.0078709,0.0062034,Low,High,WWTP,gfdl.esm2m.1.rcp85.piecewise
263500,0.0031371,0.0030493,0.0038421,High,Low,WWTP,gfdl.esm2m.1.rcp85.piecewise
314060,0.00082565,0.00086659,0.0012485,Low,Low,WWTP,gfdl.esm2m.1.rcp85.piecewise
430010,0.012375,0.020586,0.020997,High,High,WWTP,gfdl.esm2m.1.rcp60.piecewise
458970,0.0050727,0.006628,0.0058174,Low,High,WWTP,gfdl.esm2m.1.rcp60.piecewise
245460,0.0030026,0.0027191,0.0028128,High,Low,WWTP,gfdl.esm2m.1.rcp60.piecewise
245680,0.00079329,0.00078482,0.0010259,Low,Low,WWTP,gfdl.esm2m.1.rcp60.piecewise
409500,0.014764,0.022863,0.02194,High,High,WWTP,gfdl.esm2m.1.rcp45.piecewise
443110,0.0072475,0.0074632,0.006084,Low,High,WWTP,gfdl.esm2m.1.rcp45.piecewise
309730,0.0030768,0.0029002,0.003392,High,Low,WWTP,gfdl.esm2m.1.rcp45.piecewise
296250,0.00081462,0.00083856,0.0011746,Low,Low,WWTP,gfdl.esm2m.1.rcp45.piecewise
395880,0.014974,0.023039,0.022008,High,High,WWTP,gfdl.esm2m.1.rcp26.piecewise
437740,0.0072272,0.0074574,0.0060822,Low,High,WWTP,gfdl.esm2m.1.rcp26.piecewise
241570,0.0031098,0.0029815,0.0036404,High,Low,WWTP,gfdl.esm2m.1.rcp26.piecewise
313950,0.00081867,0.00084884,0.001202,Low,Low,WWTP,gfdl.esm2m.1.rcp26.piecewise
419920,0.014647,0.022764,0.021901,High,High,WWTP,csiro.mk3.6.0.1.rcp85.piecewise
422730,0.007273,0.0074704,0.0060862,Low,High,WWTP,csiro.mk3.6.0.1.rcp85.piecewise
260450,0.0030721,0.0028887,0.0033564,High,Low,WWTP,csiro.mk3.6.0.1.rcp85.piecewise
268920,0.00081329,0.00083519,0.0011656,Low,Low,WWTP,csiro.mk3.6.0.1.rcp85.piecewise
412520,0.011541,0.019643,0.020576,High,High,WWTP,csiro.mk3.6.0.1.rcp60.piecewise
465170,0.0046094,0.0063697,0.0057282,Low,High,WWTP,csiro.mk3.6.0.1.rcp60.piecewise
246160,0.0029797,0.0026639,0.0026286,High,Low,WWTP,csiro.mk3.6.0.1.rcp60.piecewise
263040,0.00078702,0.00076917,0.00098064,Low,Low,WWTP,csiro.mk3.6.0.1.rcp60.piecewise
419260,0.015251,0.023264,0.022096,High,High,WWTP,csiro.mk3.6.0.1.rcp45.piecewise
439150,0.0076192,0.0075646,0.0061143,Low,High,WWTP,csiro.mk3.6.0.1.rcp45.piecewise
258520,0.0030781,0.0029034,0.0034017,High,Low,WWTP,csiro.mk3.6.0.1.rcp45.piecewise
284770,0.0008145,0.00083824,0.0011738,Low,Low,WWTP,csiro.mk3.6.0.1.rcp45.piecewise
394480,0.012881,0.021117,0.021226,High,High,WWTP,csiro.mk3.6.0.1.rcp26.piecewise
448120,0.0055311,0.0068488,0.0058911,Low,High,WWTP,csiro.mk3.6.0.1.rcp26.piecewise
303690,0.0030079,0.002732,0.0028552,High,Low,WWTP,csiro.mk3.6.0.1.rcp26.piecewise
311110,0.00079586,0.00079126,0.0010442,Low,Low,WWTP,csiro.mk3.6.0.1.rcp26.piecewise
393480,0.01679,0.024413,0.022529,High,High,WWTP,hadgem2.es.1.rcp85.piecewise
452390,0.0092046,0.0079156,0.0062162,Low,High,WWTP,hadgem2.es.1.rcp85.piecewise
264970,0.0031024,0.0029632,0.003585,High,Low,WWTP,hadgem2.es.1.rcp85.piecewise
269330,0.00082143,0.00085585,0.0012205,Low,Low,WWTP,hadgem2.es.1.rcp85.piecewise
398600,0.016465,0.024184,0.022444,High,High,WWTP,hadgem2.es.1.rcp60.piecewise
426480,0.0091987,0.0079145,0.0062159,Low,High,WWTP,hadgem2.es.1.rcp60.piecewise
256790,0.0031182,0.0030025,0.0037032,High,Low,WWTP,hadgem2.es.1.rcp60.piecewise
265830,0.00082428,0.00086311,0.0012394,Low,Low,WWTP,hadgem2.es.1.rcp60.piecewise
421960,0.014938,0.023008,0.021996,High,High,WWTP,hadgem2.es.1.rcp45.piecewise
438920,0.0075711,0.007552,0.0061106,Low,High,WWTP,hadgem2.es.1.rcp45.piecewise
